Major categories, Medium category, Subcategory, Manufacturer, Product name, Model, Model number, URL, minimum wavelength, maximum wavelength, average power, Maximum output, Time span, Pulse Width, Repetition frequency, Repetition rate, processing, communication, Spectroscopy and Measurement, Imaging, Demo machine rental
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, LLTF, SWIR, https://www.sevensix.co.jp/products/scfilter_nktp/, 1000nm, 2300nm,,, Pulse,,,,,,,, can be
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK VARIA,, https://www.sevensix.co.jp/products/scfilter_nktp/, 400nm, 840nm,,, Pulse,,,,,,,, can be
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD1-PM, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD2, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD3, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD3-PM, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,,NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD4, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD4-PM, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD5, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD4-PM, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD6, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD4-PM, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD7, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD4-PM, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD8, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD4-PM, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD9, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD4-PM,https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, broadband white laser light source,, NKT Photonics A/S, High-performance wavelength selection filter for white laser light source, SuperK CONNECT, FD10, https://www.sevensix.co.jp/products/scfilter_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL037-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 365nm, 385nm, > 0.5 mW,, Pulse, < 70ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL037-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 365nm, 385nm, > 0.2 mW,, Pulse, < 70ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL040-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 390nm, 420nm, > 0.8 mW,, Pulse, < 45ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL040-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 390nm, 420nm, > 0.25 mW,, Pulse, < 45ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL044-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 420nm, 460nm, > 0.7 mW,, Pulse, < 70ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL044-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 420nm, 460nm, > 0.3 mW,, Pulse, < 70ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL048-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 460nm, 500nm, > 0.8 mW,, Pulse, < 80ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL048-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 460nm, 500nm, > 0.3 mW,, Pulse, < 80ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL051-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 495nm, 525nm, > 0.6 mW,, Pulse, < 110ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX,PIL051-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 495nm, 525nm, > 0.2 mW,, Pulse, < 110ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL063-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 620nm, 650nm, > 0.5 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL063-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 620nm, 650nm, > 0.2 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL067-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 640nm, 670nm, > 0.5 mW,, Pulse, < 45ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL067-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 640nm, 670nm, > 0.3 mW,, Pulse, < 45ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL069-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 675nm, 705nm, > 0.6 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL069-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 675nm, 705nm, > 0.2 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL085-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 835nm, 865nm, > 0.5 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL085-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 835nm, 865nm, > 0.2 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL094-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 920nm, 960nm, > 0.35 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL094-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 920nm, 960nm, > 0.15 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL106-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 1040nm, 1080nm, > 0.35 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL106-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 1040nm, 1080nm, > 0.15 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL155-FS, https://www.sevensix.co.jp/products/pilasdx_nktp/, 1530nm, 1570nm, > 0.04 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, PILAS DX, PIL155-FC, https://www.sevensix.co.jp/products/pilasdx_nktp/, 1530nm, 1570nm, > 0.02 mW,, Pulse, < 50ps, 40 MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S, Picosecond ultrashort pulse laser, aeroPULSE PS,, https://www.sevensix.co.jp/products/aeropulseps_nktp/, 1030nm, 1030nm, 40W,, Pulse, 5ps, 10 - 400MHz,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S,Femtosecond ultrashort pulse laser, ORIGAMI 03XP,, https://www.sevensix.co.jp/products/origamixp_nktp/, 343nm, 343nm, > 1.2W,, Pulse, < 300fs," Single-shot to 1 MHz, Pulse-on-Demand",,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S,Femtosecond ultrashort pulse laser, ORIGAMI 03XP-S,, https://www.sevensix.co.jp/products/origamixp_nktp/ /, 343nm, 343nm, > 1.2W,, Pulse, < 300fs," Single-shot to 1 MHz, Pulse-on-Demand",,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S,Femtosecond ultrashort pulse laser, ORIGAMI 05XP,, https://www.sevensix.co.jp/products/origamixp_nktp/ /, 515nm, 515nm, > 2.5W,, Pulse, < 370fs,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S,Femtosecond ultrashort pulse laser, ORIGAMI 05XP-S,, https://www.sevensix.co.jp/products/origamixp_nktp/ /, 515nm, 515nm, > 2.5W,, Pulse, < 370fs,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S,Femtosecond ultrashort pulse laser, aeroPULSE FS50-05,, https://www.sevensix.co.jp/products/aeropulsefs50_nktp/, 515nm, 515nm, 25W,, Pulse, < 0.5–3 ps,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, Optizone Technology Limited, Fiber Laser Module,,, https://www.sevensix.co.jp/products/fiberlasermodule_optizone/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S," 50W output femtosecond fiber laser ""aeroPULSE FS50""",,,https://www.sevensix.co.jp/products/aeropulsefs50_nktp/,,, 50 W,, Pulse,,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S," Maximum 70uJ femtosecond laser ""ORIGAMI XP(-S)""",,, https://www.sevensix.co.jp/products/origamixp_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S," 40W output picosecond fiber laser ""aeroPULSE PS""",,, https://www.sevensix.co.jp/products/aeropulseps_nktp/,,, 40 W,, Pulse,,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, NKT Photonics A/S," Gain switch type picosecond laser ""PILAS DX""",,, https://www.sevensix.co.jp/products/pilasdx_nktp/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,," Seven Six Co., Ltd."," Wavelength-tunable ultrashort pulse fiber laser ""Lulu""",,, https://www.sevensix.co.jp/products/lulu_sevensix/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,," Seven Six Co., Ltd."," Ultrashort pulse fiber laser ""iQoM""",,, https://www.sevensix.co.jp/products/iqom/,,,,, Pulse,,,,,,,, can be
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, Southern Photonics Ltd.," Picosecond fiber laser, all PM fiber configuration",,, https://www.sevensix.co.jp/products/fl_southernphotonics/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, RAM Photonics LLC,Tunable picosecond light source,,, https://www.sevensix.co.jp/products/cavityless_ramphotonics/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, Ultrashort pulse laser (nanosecond/picosecond/femtosecond) light source,, ITF Technologies Inc., LIDAR light source,,, https://www.sevensix.co.jp/products/lidar_itf/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, Tunable laser light source,, EXFO," Tunable wavelength laser ""T500S""",,, https://www.sevensix.co.jp/products/exfo_t500s/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Tunable laser light source,, EXFO," Narrow linewidth tunable laser ""T200S""",,, https://www.sevensix.co.jp/products/exfo_t200s/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Tunable laser light source,, NKT Photonics A/S," Ultra-wideband wavelength tunable laser light source ""SuperK CHROMATUNE""",,, https://www.sevensix.co.jp/products/superk-chromatune/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Tunable laser light source,," Koshin Optical Co., Ltd.", Wavelength tunable laser 『KLS-201A』 standard model,,, https://www.sevensix.co.jp/products/kls201a_koshinkogaku/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Tunable laser light source,," Koshin Optical Co., Ltd.","High-resolution wavelength tunable laser ""KLS-601A"" series",,, https://www.sevensix.co.jp/products/kls601a_koshinkogaku/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Narrow linewidth CW laser light source,, NKT Photonics A/S," Ultra-low noise narrow linewidth fiber laser lineup ""Koheras"" series",,, https://www.sevensix.co.jp/products/koherasseries_nktp/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Narrow linewidth CW laser light source,, NKT Photonics A/S," Compact modular ultra-low noise narrow linewidth fiber laser ""Koheras BASIK""",,, https://www.sevensix.co.jp/products/koherasbasik_nktp/,,,,, CW,,,,,,,, can be
 Fiber lasers and other light sources, Narrow linewidth CW laser light source,, NKT Photonics A/S," OEM type ultra-low noise narrow linewidth fiber laser ""Koheras BASIK MIKRO""",,, https://www.sevensix.co.jp/products/koherasbasikmikro_nktp/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Narrow linewidth CW laser light source,, ID Photonics GmbH, Benchtop narrow linewidth tunable laser,,, https://www.sevensix.co.jp/products/cobritedx_idphotonics/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Narrow linewidth CW laser light source,, NKT Photonics A/S," Benchtop ultra-low noise narrow linewidth high power fiber laser ""Koheras BOOSTIK HP""",,,https://www.sevensix.co.jp/products/koherasboostik_nktp/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Narrow linewidth CW laser light source,, NKT Photonics A/S," Koheras HARMONIK: Wavelength-converted ultra-low noise, narrow linewidth, high-power fiber laser for quantum applications",,, https://www.sevensix.co.jp/products/nkt_koheras-harmonik/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Narrow linewidth CW laser light source,," Koshin Optical Co., Ltd.", Narrow linewidth fixed wavelength semiconductor laser,,, https://www.sevensix.co.jp/products/fls_koshinkogaku/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Narrow linewidth CW laser light source,," SYCATUS Co., Ltd.", Narrow linewidth laser source Laser linewidth measurement system,,, https://www.sevensix.co.jp/products/a0020a_sycatus/,,,,,,,,,,,,,
 Fiber lasers and other light sources, Narrow linewidth CW laser light source,, NKT Photonics A/S," Benchtop ultra-low noise narrow linewidth fiber laser ""Koheras ADJUSTIK""",,, https://www.sevensix.co.jp/products/nkt_koheras-adjustik/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, CW fiber laser oscillator,, ITF Technologies Inc., High-power fiber laser engine,,, https://www.sevensix.co.jp/products/laserengine_itf/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, Optical frequency comb source,," Seven Six Co., Ltd.",Optical frequency comb generator Frush,,, https://www.sevensix.co.jp/products/frush/,,,,, Pulse,,,,,,,,
 Fiber lasers and other light sources, UV light source/LED light source/SLD light source,, Agiltron Inc., Solid UV light source for UV curing resin,,, https://www.sevensix.co.jp/products/uvlaser_agiltron/,,,,, CW,,,,,,,,
 Fiber lasers and other light sources, UV light source/LED light source/SLD light source,," Kyoto Semiconductor Co., Ltd.", UV LED,,, https://www.sevensix.co.jp/products/uvled_kyosemi/,,,,,,,,,,,,,
 Fiber lasers and other light sources, UV light source/LED light source/SLD light source,," Kyoto Semiconductor Co., Ltd.", Resin mold visible light LED,,, https://www.sevensix.co.jp/products/resinled_kyosemi/,,,,,,,,,,,,,
 Fiber lasers and other light sources, UV light source/LED light source/SLD light source,," Kyoto Semiconductor Co., Ltd.", dual wavelength LED,,, https://www.sevensix.co.jp/products/dualwavelengthled_kyosemi/,,,,,,,,,,,,,
 Fiber lasers and other light sources, UV light source/LED light source/SLD light source,," Kyoto Semiconductor Co., Ltd.", Red LED,,, https://www.sevensix.co.jp/products/redled_kyosemi/,,,,,,,,,,,,,
 Fiber lasers and other light sources, UV light source/LED light source/SLD light source,," Kyoto Semiconductor Co., Ltd.", Parallel light LED,,, https://www.sevensix.co.jp/products/parallelled_kyosemi/,,,,,,,,,,,,,
 Fiber lasers and other light sources, UV light source/LED light source/SLD light source,," Kyoto Semiconductor Co., Ltd.", Infrared LED,,,https://www.sevensix.co.jp/products/infraredled_kyosemi/,,,,,,,,,,,,,
 Fiber lasers and other light sources, UV light source/LED light source/SLD light source,," Kyoto Semiconductor Co., Ltd.", Resin mold infrared LED,,, https://www.sevensix.co.jp/products/resininfrared_kyosemi/,,,,,,,,,,,,,
 Fiber lasers and other light sources, UV light source/LED light source/SLD light source,, Innolume GmbH, SLD light source,,, https://www.sevensix.co.jp/products/sld_innolume/,,,,,,,,,,,,,
 Fiber lasers and other light sources, UV light source/LED light source/SLD light source,, Innolume GmbH, Optical comb laser chip,,, https://www.sevensix.co.jp/products/comchip_innolume/,,,,,,,,,,,,,
 Semiconductor laser diode (LD), Main lineup of semiconductor laser diodes,, BWT Beijing LTD., Main lineup of semiconductor laser diodes,,, https://www.sevensix.co.jp/products/laserdiode/,,,,,,,,,,,,,
 Semiconductor laser diode (LD), Seed LD,, Innolume GmbH, Free-space single-mode semiconductor laser,,, https://www.sevensix.co.jp/products/freespace_smlaser_innolume/,,,,,,,,,,,,,
 Semiconductor laser diode (LD), Seed LD,, Innolume GmbH, Semiconductor multimode laser / quantum dot laser,,, https://www.sevensix.co.jp/products/pompld_mm_innolume/,,,,,,,,,,,,,
 Semiconductor laser diode (LD), Seed LD,, eagleyard Photonics GmbH,Single-mode semiconductor laser,,, https://www.sevensix.co.jp/products/smld_eagleyard/,,,,,,,,,,,,,
 Semiconductor laser diode (LD), Seed LD,, eagleyard Photonics GmbH, DFB/DBR laser,,, https://www.sevensix.co.jp/products/dfblaser_eagleyard/,,,,,,,,,,,,,
 Semiconductor laser diode (LD), Seed LD,, Eblana Photonics Ltd., DML (DFB-like laser),,, https://www.sevensix.co.jp/products/dfblaser_eblana/,,,,,,,,,,,,,
 Semiconductor laser diode (LD), Seed LD,, Innolume GmbH, DFB single frequency laser,,, https://www.sevensix.co.jp/products/dfb_innolume/,,,,,,,,,,,,,
 Semiconductor laser diode (LD), Seed LD,, 3SP Technologies, Seed Fabry-Perot laser (CW/Pulse) PM fiber,,, https://www.sevensix.co.jp/products/fplaserpm_3sp/,,,,, CW,,,,,,,,
 Semiconductor laser diode (LD), Seed LD,, 3SP Technologies, DFB laser chip-on-submount type,,, https://www.sevensix.co.jp/products/dfb_3sp/,,,,,,,,,,,,,
 Semiconductor laser diode (LD), Fabry-Perot laser,, BWT Beijing LTD.," High-power semiconductor multimode laser with fiber optics, 520nm",,, https://www.sevensix.co.jp/products/ld520nm_bwt/, 520 nm,,,,,,,,,,,,
 Semiconductor laser diode (LD), Fabry-Perot laser,,BWT Beijing LTD., Fiber-attached high-power semiconductor multimode laser 635nm,,, https://www.sevensix.co.jp/products/ld635nm_bwt/, 635 nm,,,,,,,,,,,,
